Frequency (Hz)	Level (dB)
7622.753906	-57.826267
7665.820312	-59.580185
7708.886719	-60.810989
7751.953125	-56.727962
7795.019531	-57.815056
7838.085938	-58.054604
7881.152344	-60.305630
7924.218750	-62.263103
7967.285156	-61.901447
8010.351562	-61.464767
8053.417969	-63.721855
8096.484375	-64.494598
8139.550781	-62.918205
8182.617188	-63.017990
8225.683594	-63.345524
8268.750000	-65.271011
8311.816406	-69.855530
8354.882812	-68.792152
8397.949219	-68.629433
8441.015625	-69.762901
8484.082031	-71.492088
8527.148438	-72.008995
8570.214844	-72.877716
8613.281250	-75.610016
8656.347656	-78.051353
8699.414062	-75.278061
8742.480469	-74.756706
8785.546875	-77.058708
8828.613281	-79.816154
8871.679688	-81.474648
8914.746094	-83.587959
8957.812500	-83.720284
9000.878906	-83.563766
9043.945312	-88.509483
9087.011719	-92.544044
9130.078125	-94.885719
9173.144531	-95.468102
9216.210938	-100.397415
9259.277344	-102.542885
9302.343750	-104.612404
9345.410156	-109.208008
9388.476562	-110.655579
9431.542969	-112.575912
9474.609375	-114.824905
9517.675781	-115.564903
9560.742188	-115.487419
9603.808594	-115.733307
9646.875000	-115.744324
9689.941406	-115.830498
9733.007812	-115.989296
9776.074219	-116.159653
9819.140625	-115.850662
9862.207031	-115.879890
9905.273438	-115.360123
9948.339844	-115.438667
9991.406250	-115.634544
10034.472656	-115.601768
10077.539062	-115.309372
10120.605469	-115.251823
10163.671875	-115.322563
10206.738281	-115.854065
10249.804688	-116.004280
10292.871094	-115.770973
10335.937500	-115.763344
10379.003906	-115.536713
10422.070312	-115.674026
10465.136719	-115.747978
10508.203125	-115.652916
10551.269531	-115.658432
10594.335938	-115.602791
10637.402344	-115.873772
10680.468750	-115.687309
10723.535156	-115.698975
10766.601562	-115.469795
10809.667969	-115.529541
10852.734375	-115.572311
10895.800781	-115.625465
10938.867188	-115.687012
10981.933594	-115.884819
11025.000000	-115.683792
11068.066406	-115.497864
11111.132812	-115.505363
11154.199219	-115.532135
11197.265625	-115.769470
11240.332031	-115.710121
11283.398438	-115.596069
11326.464844	-115.850838
11369.531250	-115.922905
11412.597656	-115.962715
11455.664062	-115.915924
11498.730469	-115.621246
11541.796875	-115.466393
11584.863281	-115.666550
11627.929688	-115.817078
11670.996094	-116.144302
11714.062500	-115.982544
11757.128906	-115.742729
11800.195312	-115.842178
11843.261719	-115.859756
11886.328125	-115.851471
11929.394531	-115.678078
11972.460938	-115.522835
12015.527344	-115.671227
12058.593750	-116.030388
12101.660156	-115.961853
12144.726562	-115.502144
12187.792969	-115.333488
12230.859375	-115.721497
12273.925781	-116.020660
12316.992188	-115.513885
12360.058594	-115.381706
12403.125000	-115.744415
12446.191406	-115.825089
12489.257812	-116.062126
12532.324219	-115.886436
12575.390625	-115.624313
12618.457031	-115.563774
12661.523438	-115.649590
12704.589844	-115.433632
12747.656250	-115.580208
12790.722656	-115.750534
12833.789062	-115.614891
12876.855469	-115.718178
12919.921875	-115.580605
12962.988281	-115.958191
13006.054688	-115.807373
13049.121094	-115.504967
13092.187500	-115.629204
13135.253906	-115.875862
13178.320312	-115.761955
13221.386719	-115.732193
13264.453125	-115.715721
13307.519531	-115.810310
13350.585938	-115.511452
13393.652344	-115.614586
13436.718750	-115.571350
13479.785156	-115.709793
13522.851562	-115.842880
13565.917969	-116.040527
13608.984375	-115.839165
13652.050781	-115.620712
13695.117188	-115.795837
13738.183594	-116.129951
13781.250000	-115.993126
13824.316406	-115.684464
13867.382812	-115.834602
13910.449219	-115.735672
13953.515625	-115.725220
13996.582031	-115.717598
14039.648438	-116.063530
14082.714844	-115.991112
14125.781250	-115.900330
14168.847656	-115.727303
14211.914062	-115.666924
14254.980469	-115.443336
14298.046875	-115.591362
14341.113281	-116.085754
14384.179688	-115.889351
14427.246094	-115.823326
14470.312500	-115.622620
14513.378906	-115.286713
14556.445312	-115.418991
14599.511719	-115.782852
14642.578125	-115.480209
14685.644531	-115.577225
14728.710938	-115.736984
14771.777344	-115.490486
14814.843750	-115.576767
14857.910156	-115.643372
14900.976562	-115.817116
14944.042969	-115.745476
14987.109375	-115.900146
15030.175781	-115.927925
15073.242188	-115.651436
15116.308594	-115.625023
15159.375000	-115.616005
15202.441406	-115.655266
15245.507812	-115.531792
15288.574219	-115.725594
15331.640625	-115.580414
15374.707031	-115.552849
15417.773438	-115.806755
15460.839844	-115.813057
15503.906250	-115.506363
15546.972656	-115.421288
15590.039062	-115.578857
15633.105469	-115.665024
15676.171875	-115.985458
15719.238281	-115.692673
15762.304688	-115.532104
15805.371094	-115.811707
