Frequency (Hz)	Level (dB)
15719.238281	-115.660202
15762.304688	-115.675529
15805.371094	-115.490845
15848.437500	-115.618729
15891.503906	-115.491730
15934.570312	-115.315414
15977.636719	-115.444778
16020.703125	-115.597977
16063.769531	-115.665924
16106.835938	-115.288940
16149.902344	-115.577980
16192.968750	-115.567055
16236.035156	-115.613373
16279.101562	-115.614166
16322.167969	-115.394043
16365.234375	-115.407234
16408.300781	-115.618782
16451.367188	-115.820419
16494.433594	-115.909721
16537.500000	-115.710266
16580.566406	-115.762253
16623.632812	-115.827698
16666.699219	-115.675011
16709.765625	-115.459953
16752.832031	-115.485962
16795.898438	-115.759071
16838.964844	-115.632721
16882.031250	-115.596039
16925.097656	-115.674965
16968.164062	-115.549835
17011.230469	-115.762199
17054.296875	-115.554268
17097.363281	-115.439095
17140.429688	-115.758080
17183.496094	-115.818520
17226.562500	-115.808556
17269.628906	-115.743195
17312.695312	-116.039581
17355.761719	-115.646507
17398.828125	-115.631310
17441.894531	-115.908081
17484.960938	-115.707886
17528.027344	-115.601463
17571.093750	-115.607353
17614.160156	-115.337273
17657.226562	-115.648880
17700.292969	-115.731140
17743.359375	-115.815010
17786.425781	-115.905045
17829.492188	-115.587120
17872.558594	-115.420906
17915.625000	-115.359955
17958.691406	-115.334343
18001.757812	-115.580681
18044.824219	-115.774803
18087.890625	-115.621689
18130.957031	-115.811935
18174.023438	-115.679367
18217.089844	-115.650185
18260.156250	-115.565353
18303.222656	-115.501022
18346.289062	-115.638573
18389.355469	-115.861816
18432.421875	-115.936584
18475.488281	-115.757927
18518.554688	-115.748032
18561.621094	-115.503777
18604.687500	-115.402954
18647.753906	-115.590698
18690.820312	-115.632690
18733.886719	-115.435234
18776.953125	-115.515663
18820.019531	-115.727722
18863.085938	-115.602242
18906.152344	-115.420967
18949.218750	-115.455444
18992.285156	-115.394646
19035.351562	-115.626396
19078.417969	-115.554588
19121.484375	-115.710510
19164.550781	-115.842415
19207.617188	-115.639610
19250.683594	-115.743690
19293.750000	-115.719620
19336.816406	-115.688416
19379.882812	-115.903976
19422.949219	-115.698524
19466.015625	-115.764290
19509.082031	-115.492729
19552.148438	-115.583420
19595.214844	-115.743317
19638.281250	-115.846840
19681.347656	-115.623283
19724.414062	-115.531273
19767.480469	-115.537628
19810.546875	-115.597702
19853.613281	-115.577583
19896.679688	-115.437408
19939.746094	-115.653244
19982.812500	-115.598869
20025.878906	-115.714088
20068.945312	-115.689644
20112.011719	-115.863396
20155.078125	-115.844398
20198.144531	-115.557808
20241.210938	-115.865112
20284.277344	-115.610367
20327.343750	-115.562767
20370.410156	-115.606178
20413.476562	-115.571251
20456.542969	-115.836922
20499.609375	-115.765968
20542.675781	-115.716148
20585.742188	-115.572166
20628.808594	-115.620125
20671.875000	-115.676018
20714.941406	-115.909180
20758.007812	-115.955925
20801.074219	-115.729721
20844.140625	-115.745750
20887.207031	-115.916328
20930.273438	-115.696594
20973.339844	-115.645454
21016.406250	-115.819221
21059.472656	-115.557884
21102.539062	-115.513527
21145.605469	-115.496941
21188.671875	-115.569633
21231.738281	-115.550690
21274.804688	-115.568054
21317.871094	-115.679405
21360.937500	-115.588646
21404.003906	-115.548088
21447.070312	-115.488350
21490.136719	-115.336647
21533.203125	-115.540909
21576.269531	-115.682007
21619.335938	-115.613892
21662.402344	-115.333672
21705.468750	-115.403580
21748.535156	-115.598465
21791.601562	-115.633530
21834.667969	-115.826126
21877.734375	-115.876854
21920.800781	-115.630844
21963.867188	-115.571388
22006.933594	-115.670197
