Frequency (Hz)	Level (dB)
18044.824219	-115.368996
18087.890625	-115.746193
18130.957031	-115.697845
18174.023438	-115.772247
18217.089844	-116.061623
18260.156250	-115.667732
18303.222656	-115.818298
18346.289062	-115.472733
18389.355469	-115.442818
18432.421875	-115.647598
18475.488281	-115.987831
18518.554688	-115.844757
18561.621094	-115.685547
18604.687500	-115.782333
18647.753906	-115.544922
18690.820312	-115.407265
18733.886719	-115.370964
18776.953125	-115.615387
18820.019531	-115.740334
18863.085938	-115.392906
18906.152344	-115.267937
18949.218750	-115.397316
18992.285156	-115.667732
19035.351562	-115.774635
19078.417969	-115.484047
19121.484375	-115.587425
19164.550781	-115.458244
19207.617188	-115.525200
19250.683594	-115.772034
19293.750000	-115.707413
19336.816406	-115.651169
19379.882812	-115.810455
19422.949219	-115.677902
19466.015625	-115.744888
19509.082031	-115.580132
19552.148438	-115.478882
19595.214844	-115.680725
19638.281250	-116.030510
19681.347656	-116.157394
19724.414062	-115.883247
19767.480469	-115.574654
19810.546875	-115.754425
19853.613281	-115.696327
19896.679688	-115.667732
19939.746094	-116.003929
19982.812500	-115.436707
20025.878906	-115.483719
20068.945312	-115.816628
20112.011719	-115.895119
20155.078125	-115.852249
20198.144531	-115.805702
20241.210938	-115.696762
20284.277344	-115.187286
20327.343750	-115.291710
20370.410156	-115.227470
20413.476562	-115.590927
20456.542969	-115.413506
20499.609375	-115.322502
20542.675781	-115.862679
20585.742188	-115.615501
20628.808594	-115.563438
20671.875000	-115.461052
20714.941406	-115.841888
20758.007812	-116.154320
20801.074219	-116.032936
20844.140625	-115.794174
20887.207031	-115.584961
20930.273438	-115.601036
20973.339844	-115.857208
21016.406250	-115.729790
21059.472656	-115.633919
21102.539062	-115.823143
21145.605469	-115.603874
21188.671875	-115.740891
21231.738281	-115.788246
21274.804688	-115.493889
21317.871094	-115.869270
21360.937500	-115.990082
21404.003906	-116.023117
21447.070312	-115.743164
21490.136719	-115.699760
21533.203125	-115.352051
21576.269531	-115.603706
21619.335938	-115.617729
21662.402344	-115.445404
21705.468750	-115.751678
21748.535156	-115.864937
21791.601562	-115.453590
21834.667969	-115.797333
21877.734375	-115.586029
21920.800781	-115.479958
21963.867188	-115.589836
22006.933594	-115.511780
